"","year","race","value","total","percent"
"1","2010","American Indian or Alaska Native",42615,3838957,0.0111006713542246
"2","2010","Asian",139199,3838957,0.0362595882162785
"3","2010","Black or African American",66777,3838957,0.0173945683684397
"4","2010","Hispanic",451940,3838957,0.117724684074346
"5","2010","Native Hawaiian or Other Pacific Islander",12532,3838957,0.00326442833300816
"6","2010","Race ethnicity unknown",7120,3838957,0.00185467042220061
"7","2010","Two or more races",112044,3838957,0.0291860523574502
"8","2010","White",3006730,3838957,0.783215336874052
"9","2011","American Indian or Alaska Native",41685,3871859,0.0107661461845589
"10","2011","Asian",149879,3871859,0.0387098290511096
"11","2011","Black or African American",66696,3871859,0.0172258338952942
"12","2011","Hispanic",466071,3871859,0.12037395989885
"13","2011","Native Hawaiian or Other Pacific Islander",14284,3871859,0.00368918392947677
"14","2011","Race ethnicity unknown",7778,3871859,0.00200885414474029
"15","2011","Two or more races",109145,3871859,0.0281893013149497
"16","2011","White",3016321,3871859,0.779036891581021
"17","2012","American Indian or Alaska Native",37023,3899353,0.00949465206150867
"18","2012","Asian",147243,3899353,0.0377608798177544
"19","2012","Black or African American",66879,3899353,0.0171513068962979
"20","2012","Hispanic",474155,3899353,0.121598377987323
"21","2012","Native Hawaiian or Other Pacific Islander",16013,3899353,0.0041065787067752
"22","2012","Race ethnicity unknown",4772,3899353,0.00122379276767197
"23","2012","Two or more races",126619,3899353,0.0324717972443121
"24","2012","White",3026649,3899353,0.776192614518357
"25","2013","American Indian or Alaska Native",33392,3930065,0.00849655158375243
"26","2013","Asian",150484,3930065,0.0382904608447952
"27","2013","Black or African American",67906,3930065,0.017278594628842
"28","2013","Hispanic",483761,3930065,0.123092366156794
"29","2013","Native Hawaiian or Other Pacific Islander",13733,3930065,0.00349434424112578
"30","2013","Race ethnicity unknown",4410,3930065,0.00112211884536261
"31","2013","Two or more races",136540,3930065,0.0347424279242201
"32","2013","White",3039839,3930065,0.773483135775108
"33","2014","American Indian or Alaska Native",35628,3970239,0.00897376707044589
"34","2014","Asian",157528,3970239,0.0396772083494218
"35","2014","Black or African American",68775,3970239,0.0173226347330727
"36","2014","Hispanic",496791,3970239,0.125128739101097
"37","2014","Native Hawaiian or Other Pacific Islander",13483,3970239,0.00339601721709952
"38","2014","Race ethnicity unknown",5872,3970239,0.0014790041607067
"39","2014","Two or more races",139755,3970239,0.0352006516484272
"40","2014","White",3052407,3970239,0.768821977719729
"41","2015","American Indian or Alaska Native",37993,4028977,0.00942993717760116
"42","2015","Asian",162545,4028977,0.040343988064464
"43","2015","Black or African American",73428,4028977,0.0182249737340273
"44","2015","Hispanic",511898,4028977,0.127054088419964
"45","2015","Native Hawaiian or Other Pacific Islander",13359,4028977,0.00331573002278246
"46","2015","Race ethnicity unknown",3090,4028977,0.000766944065453836
"47","2015","Two or more races",144053,4028977,0.0357542373659616
"48","2015","White",3082611,4028977,0.765110101149746
"49","2016","American Indian or Alaska Native",36097,4093465,0.00881820169465233
"50","2016","Asian",167053,4093465,0.0408096807960982
"51","2016","Black or African American",75516,4093465,0.0184479408032071
"52","2016","Hispanic",522568,4093465,0.127659085884452
"53","2016","Native Hawaiian or Other Pacific Islander",13830,4093465,0.00337855582006931
"54","2016","Race ethnicity unknown",5961,4093465,0.00145622351724028
"55","2016","Two or more races",152976,4093465,0.0373707848973913
"56","2016","White",3119464,4093465,0.762059526586889
"57","2017","American Indian or Alaska Native",38855,4142776,0.0093789768020284
"58","2017","Asian",180042,4142776,0.0434592649952592
"59","2017","Black or African American",74345,4142776,0.0179456963157071
"60","2017","Hispanic",540924,4142776,0.130570419448215
"61","2017","Native Hawaiian or Other Pacific Islander",15740,4142776,0.00379938476036358
"62","2017","Race ethnicity unknown",6961,4142776,0.00168027428951022
"63","2017","Two or more races",153157,4142776,0.036969655129797
"64","2017","White",3132752,4142776,0.756196328259119
"65","2018","American Indian or Alaska Native",41055,4190713,0.00979666228634602
"66","2018","Asian",188459,4190713,0.0449706291029713
"67","2018","Black or African American",77915,4190713,0.0185923015964109
"68","2018","Hispanic",556397,4190713,0.1327690538579
"69","2018","Native Hawaiian or Other Pacific Islander",17844,4190713,0.00425798664809544
"70","2018","Race ethnicity unknown",6609,4190713,0.00157705860554039
"71","2018","Two or more races",154832,4190713,0.0369464575598472
"72","2018","White",3147602,4190713,0.751089850342889
"73","2019","American Indian or Alaska Native",40821,4217737,0.00967841285504525
"74","2019","Asian",191850,4217737,0.0454864777011938
"75","2019","Black or African American",75363,4217737,0.0178681126869693
"76","2019","Hispanic",566839,4217737,0.13439410755104
"77","2019","Native Hawaiian or Other Pacific Islander",13164,4217737,0.00312110499066205
"78","2019","Race ethnicity unknown",5530,4217737,0.00131112964132187
"79","2019","Two or more races",165212,4217737,0.039170768589886
"80","2019","White",3158958,4217737,0.748969885983882
